award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
country	The Ringerike Line (Norwegian: Ringeriksbanen or Ringeriksbana) is a proposed 40-kilometre (25 mi) extension of the Bergen Line from Hønefoss to Sandvika, Norway.	Ringerike Line	Norway
country	Dastgeer Sahib is a Sufi shrine of Sheikh Syed Abdul Qadir Jelani (Gous E Azam) located in Khaniyar, Srinagar, Jammu and kashmir, India.	Dastgeer Sahib	India
country	Savoy Castle, also known as Savoy Mansion (Hungarian: Savoyai Kastély), is an 18th-century Baroque style château located in Ráckeve, Hungary.	Savoy Castle	Hungary
country	Podgorje ob Sevnični (pronounced (pɔdˈɡoːɾjɛ ɔp ˈseːu̯nitʃni)) is a dispersed settlement in the hills north of Sevnica in east-central Slovenia.	Podgorje ob Sevnični	Slovenia
country	Asadli (Persian: اسدلي‎, also Romanized as Asadlī) is a village in Aladagh Rural District, in the Central District of Bojnord County, North Khorasan Province, Iran.	Asadli	Iran
country	Skogerøytoppen (Northern Sami: Ákkelgáisá) is the highest mountain on the island of Skogerøya in Sør-Varanger Municipality in Finnmark county, Norway.	Skogerøytoppen	Norway
country	Kilballyowen (Irish: Cill Bhaile Eoghain) is a civil parish and a Catholic parish in County Clare, Ireland.	Kilballyowen	Ireland
country	Boston Beach is a coastal community on the north coast of the island of Jamaica, with a public beach which is one of the few beaches in Jamaica attracting surfers.	Boston Beach	Jamaica
country	Kampoi (Greek: Κάμποι) is a village in the municipal unit of Keramia on the island of Crete, Greece.	Kampoi	Greece
country	Kiebingen is a suburban district of Rottenburg am Neckar in the administrative district of Tübingen in Baden-Württemberg (Germany).	Kiebingen	Germany
country	Berau Regency (Indonesian: Kabupaten Berau) is one of the six regencies in East Kalimantan province in Indonesia.	Berau Regency	Indonesia
country	Stok Polski (ˈstɔk ˈpɔlski) is a village in the administrative district of Gmina Błaszki, within Sieradz County, Łódź Voivodeship, in central Poland.	Stok Polski	Poland
country	The Mummelsee is a 17-metre-deep lake at the western mountainside of the Hornisgrinde in the Northern Black Forest of Germany.	Mummelsee	Germany
country	In the United Kingdom, a Deputy Lieutenant is a Crown appointment and one of several deputies to the Lord Lieutenant of a lieutenancy area: an English ceremonial county, Welsh preserved county, Scottish lieutenancy area, or Northern Irish county borough or county.	Deputy Lieutenant	United Kingdom
country	After the Anthems is a band based in Mississauga Ontario, Canada and originally from Owen Sound.	After the Anthems	Canada
country	Ključarovci pri Ljutomeru (pronounced (kljuˈtʃaːɾɔu̯tsi pɾi ˈljuːtɔmɛɾu)) is a village in the Municipality of Križevci in northeastern Slovenia.	Ključarovci pri Ljutomeru	Slovenia
country	Assin Praso is a town in the Assin North Municipal District of the Central Region in Ghana	Assin Praso	Ghana
country	Svartsö is an island located in the Stockholm archipelago in Sweden.	Svartsö	Sweden
country	The Venetian People's Movement (Italian: Movimento Popolare Veneto, MPV) was a Christian-democratic and regionalist political party in Veneto, Italy.	Venetian People's Movement	Italy
country	The Trident Grand Residence is a 45-floor, 179 m high tower in the Dubai Marina Dubai, United Arab Emirates.	Trident Grand Residence	United Arab Emirates
country	Jalan Datin Halimah (Johor state road J3) or Jalan Kolam Ayer is a major roads in Johor Bahru, Johor, Malaysia.	Jalan Datin Halimah	Malaysia
country	Crmnica (Serbian Cyrillic: Црмница, pronounced (tsř̩mnitsa)) is a historical region in southern Montenegro, lying within the municipality of Bar and is unofficially considered a division of that municipality.	Crmnica	Montenegro
country	Harike Wetland also known as ``Hari-ke-Pattan'', with the Harike Lake in the deeper part of it, is the largest wetland in northern India in the border of Tarn Taran Sahib district and Ferozepur district of the Punjab state in India.	Harike Wetland	India
country	Poznan University of Medical Sciences (Polish: Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu) is a prominent Polish medical university, located in the city of Poznań in western Poland.	Poznan University of Medical Sciences	Poland
country	Escondido Lake / Lago Escondido is a lake in Argentina.	Escondido Lake	Argentina
country	Dhaular is a village of Tehsil Talagang, in the Punjab Province, Chakwal District, Pakistan.	Dhaular	Pakistan
country	The Malacca Strait Bridge (Malay/Indonesian: Jambatan/Jembatan Selat Melaka/Malaka or JSM and Jembatan Selmal) is a proposed bridge that would connect Telok Gong, near Masjid Tanah, Malacca state in Peninsula Malaysia, Malaysia to Rupat Island and Dumai in Sumatra island, Indonesia.	Malacca Strait Bridge	Malaysia
country	Seesen is a town and municipality in the district of Goslar, in Lower Saxony, Germany.	Seesen	Germany
country	Royal Oak Mall is a shopping centre in Auckland, New Zealand which was expanded in the mid-1980s.	Royal Oak Mall	New Zealand
country	Gergereh (Persian: گرگره‎) is a village in Chaldoran-e Shomali Rural District, in the Central District of Chaldoran County, West Azerbaijan Province, Iran.	Gergereh	Iran
country	Tenayuca (Nahuatl: tenanyōcān) is a pre-Columbian Mesoamerican archaeological site in the Valley of Mexico.	Tenayuca	Mexico
country	Nowa Sobótka (ˈnɔva sɔˈbutka) is a village in the administrative district of Gmina Grabów, within Łęczyca County, Łódź Voivodeship, in central Poland.	Nowa Sobótka	Poland
country	Cordovilla is a village and municipality in the province of Salamanca, western Spain, part of the autonomous community of Castile-Leon.	Cordovilla	Spain
country	The San Carlos Palace (Spanish: Palacio de San Carlos; previously Colegio Seminario de San Bartolomé), is a 16th-century Neoclassical mansion in Bogotá, Colombia.	Palacio de San Carlos	Colombia
country	Nohmul (or Noh Mul) is a pre-Columbian Maya archaeological site located on the eastern Yucatán Peninsula, in what is today northern Belize.	Nohmul	Belize
country	Melesse (Breton: Meled, Gallo: Melècz) is a commune in the Ille-et-Vilaine department of Brittany in northwestern France.	Melesse	France
country	Bazman (Persian: بزمان, also known as Kuh-e Bazman‎) is a stratovolcano in a remote desert region of Sistan and Baluchestan Province in southeastern Iran.	Bazman	Iran
country	Finchingfield and Cornish Hall End combined had a population of 1,471 at the United Kingdom Census 2011.	Finchingfield	United Kingdom
country	Lirehi (Persian: ليره اي‎, also Romanized as Līreh’ī and Leyreh’ī) is a village in Gabrik Rural District, in the Central District of Jask County, Hormozgan Province, Iran.	Lirehi	Iran
country	Mineirão (Portuguese pronunciation: (minejˈɾɐ̃w)), officially Estádio Governador Magalhães Pinto (Governor Magalhães Pinto Stadium) is the largest football stadium in the state of Minas Gerais, Brazil.	Mineirão	Brazil
country	Khan Bani Saad (Arabic: مدينة خان بني سعد Madīna Khān Banī Sa`ad) is a majority Shia Arab city in Diyala Governorate, Iraq.	Khan Bani Saad	Iraq
country	Brunška Gora (pronounced (ˈbɾuːnʃka ˈgɔːɾa); in older sources also Bruniška Gora) is a small dispersed settlement in the Municipality of Radeče in eastern Slovenia.	Brunška Gora	Slovenia
country	Bukit Baka Bukit Raya National Park is a national park located on Borneo Island, Indonesia.	Bukit Baka Bukit Raya National Park	Indonesia
country	Dongnae Girls' High School (Korean: 동래여자고등학교) is a private girls high school located in Bugok-3-dong, Geumjeong-gu, Busan, South Korea.	Dongnae Girls' High School	South Korea
country	Mehkuyeh-ye Olya (Persian: مهكويه عليا‎, also Romanized as Mehkūyeh-ye ``Olyā; also known as Mehkūyeh-ye Bālā) is a village in Khvajehei Rural District, Meymand District, Firuzabad County, Fars Province, Iran. At the 2006 census, its population was 78, in 18 families.	Mehkuyeh-ye Olya	Iran
country	Nurzhol Boulevard (Kazakh: бульвар ``Нұржол'' Bulvar Nurzhol, formerly known as ``сулы-нулы бульвар'' Green Water Boulevard) is the national boulevard of Kazakhstan, a pedestrian area in the new business and administrative centre on the left bank of Ishim river, in the capital, Astana.	Nurzhol Boulevard	Kazakhstan
country	Takhatgarh is a town in Sumerpur tehsil of Pali District of Rajasthan state in India.	Takhatgarh	India
country	Masileh-ye Abdi (Persian: مسيله عبدي‎, also Romanized as Masīleh-ye ``Abdī and Masīleh ``Abdī) is a village in Kaki Rural District, Kaki District, Dashti County, Bushehr Province, Iran. At the 2006 census, its existence was noted, but its population was not reported.	Masileh-ye Abdi	Iran
country	Perai, alternatively known as Prai, is a township and a major industrial area located in Penang, Malaysia.	Perai	Malaysia
country	Pillar of Salt is the name of a Grade II listed road sign on Angel Hill Bury St Edmunds in the United Kingdom.	Pillar of Salt	United Kingdom
country	Sar Taruna (Persian: سرترونا‎, also Romanized as Sar Tarūnā; also known as Sar Tanūrān) is a village in Abtar Rural District, in the Central District of Iranshahr County, Sistan and Baluchestan Province, Iran.	Sar Taruna	Iran
country	The Toledo railway station is a railway station in Toledo, Spain, which was designed by architect Narciso Clavería y de Palacios in the Neo-Mudéjar style.	Toledo railway station	Spain
country	Bablake School is a co-educational Independent school located in Coventry, England and founded in 1344 by Queen Isabella, making it one of the oldest schools in the United Kingdom (List of the oldest schools in the United Kingdom).	Bablake School	United Kingdom
country	Agriakona (Greek: Αγριακόνα) is a village in the municipal unit of Valtetsi, Arcadia, Greece.	Agriakona	Greece
country	Purkače (in older sources also Purkarče) is a small settlement just north of the road from Rob to Krvava Peč in the Municipality of Velike Lašče in central Slovenia.	Purkače	Slovenia
country	Malangen (Northern Sami: Málatvuotna or Kven: Malankivuono) is a former municipality in Troms county in Norway.	Malangen	Norway
country	Khuy Suroq (Persian: خوي سورق‎, also Romanized as Khūy Sūroq; also known as Khūy Būrūq and Khvoy Sareh) is a village in Chahardangeh Rural District, Hurand District, Ahar County, East Azerbaijan Province, Iran.	Khuy Suroq	Iran
country	In 1920 there were in all of Iraq only five primary schools that were accessible for girls, and one of them was in Dohuk.	Dohuk	Iraq
country	Jan Mohammad Chahi (Persian: جان محمدچاهي‎, also Romanized as Jān Moḩammad Chāhī) is a village in Ladiz Rural District, in the Central District of Mirjaveh County, Sistan and Baluchestan Province, Iran.	Jan Mohammad Chahi	Iran
country	Wini Wini (Aymara wini a very heavy and hard stone used to work others, the reduplication indicates that there is a group or a complex of something, hispanicized spelling Huini Huini) is a mountain in the Andes of Peru, about 4,800 metres (15,748 ft) high.	Wini Wini	Peru
country	Named after the last pagan ruling prince, Taksony of Hungary, Taksony is a village of roughly 6,000 inhabitants roughly 23 kilometers south of Budapest, on the bank of the Ráckeve branch of the Danube known as Kisduna (Little Danube).	Taksony	Hungary
country	Redlica (rɛˈdlit͡sa) (German: Marienthal) is a village in the administrative district of Gmina Dobra, within Police County, West Pomeranian Voivodeship, in north-western Poland, close to the German border.	Redlica	Poland
country	Cortemaggiore is located in the northern Italy about 80 kilometres (50 mi) from Milan and 120 kilometres (75 mi) from Bologna, in the zone of Italy called ``Pianura Padana''.	Cortemaggiore	Italy
country	Sungai Penuh is a city in Indonesia, in Jambi province, on the island of Sumatra.	Sungai Penuh	Indonesia
country	Zagajica (Serbian Cyrillic: Загајица) is a village in Serbia.	Zagajica	Serbia
country	Karpenisi (Greek: Καρπενήσι) is a town in central Greece.	Karpenisi	Greece
country	The Parlamentarischer Rat (German for ``Parliamentary Council'') was the West German constituent assembly in Bonn that drafted and adopted the Basic Law for the Federal Republic of Germany (Grundgesetz), promulgated on 23 May 1949.	Parlamentarischer Rat	Germany
country	In 2006 Gebrüder Thonet becomes Thonet GmbH. Today, Thorsten Muck runs the company with its head offices and production facilities in Frankenberg/Eder (Germany).	Gebrüder Thonet	Germany
country	Improvement District No. 349 is an improvement district in northeast Alberta, Canada.	Improvement District No. 349	Canada
country	Figuralchor der Gedächtniskirche Stuttgart is a mixed church- and concert choir based in Stuttgart, Germany.	Figuralchor der Gedächtniskirche Stuttgart	Germany
country	Gare de Cannes-La Bocca is a railway station in the city of Cannes, southern France.	Gare de Cannes-La Bocca	France
country	Elgoibar (Spanish: Elgóibar) is an industrial town located in the province of Gipuzkoa, in the Autonomous Community of Basque Country, northern Spain.	Elgoibar	Spain
country	Vresse-sur-Semois (French pronunciation: ​(vʁɛs.syʁ.sə.mwa)) is a Walloon municipality of Belgium located in the province of Namur.	Vresse-sur-Semois	Belgium
country	Lniano (ˈlɲanɔ) is a village in Świecie County, Kuyavian-Pomeranian Voivodeship, in north-central Poland.	Lniano	Poland
country	Yeli Bolagh (Persian: يلي بلاغ‎, also Romanized as Yelī Bolāgh) is a village in Ajorluy-ye Gharbi Rural District, Baruq District, Miandoab County, West Azerbaijan Province, Iran.	Yeli Bolagh	Iran
country	Ghezala is a town of north-western Tunisia located at 50 kilometres west of Bizerte and 70 kilometres northwest of Tunis.	Ghezala	Tunisia
country	Zeri is a comune in the province of Massa and Carrara, Tuscany, central Italy.	Zeri	Italy
country	Shahrak-e Horr (Persian: شهرك حر‎‎, also Romanized as Shahrak-e Ḩorr and Shahrak-e Ḩor) is a village in Sar Joulaki Rural District, Joulaki District, Aghajari County, Khuzestan Province, Iran.	Shahrak-e Horr	Iran
country	The village Kirkjubæjarklaustur (Icelandic for ``church farm cloister'', pronounced (ˈcʰɪrcjʏˌpaɪjarˌkʰlœɪstʏr); often referred to locally as just Klaustur) is a village in the south of Iceland on the hringvegur (road no. 1 or Ring Road) between Vík í Mýrdal and Höfn.	Kirkjubæjarklaustur	Iceland
country	Sharbazher is a district Sharbazher District, Sulaymaniyah Governoratae, Iraq.	Sharbazher	Iraq
country	Mała Wieś Górna (ˈmawa ˈvjɛɕ ˈɡurna) (German: Ober Halbendorf) is a village in the administrative district of Gmina Sulików, within Zgorzelec County, Lower Silesian Voivodeship, in south-western Poland, close to the Czech border.	Mała Wieś Górna	Poland
country	Taszewskie Pole (taˈʂɛfskʲɛ ˈpɔlɛ) is a village in the administrative district of Gmina Jeżewo, within Świecie County, Kuyavian-Pomeranian Voivodeship, in north-central Poland.	Taszewskie Pole	Poland
country	Vardhman Academy is a private secondary school run by the Jain Boarding House Society in Meerut, India.	Vardhman Academy	India
country	Liinmaa Castle (German: Vreghdenborch) was a medieval castle in Eurajoki in the province of Satakunta in Finland.	Liinmaa Castle	Finland
country	Aalim Muhammed Salegh College of Engineering or A.M.S College of Engineering is an engineering college affiliated to Anna University, India located in Muthapudupet, Avadi, Chennai, Tamil Nadu.	Aalim Muhammed Salegh College of Engineering	India
country	San Giovannino dei Cavalieri (Young St. John the Baptist of the Knights) previously named Church of San Giovanni Decollato (Decapitated St. John), is a parish church situated in Via San Gallo in central Florence, Italy.	San Giovannino dei Cavalieri	Italy
country	The Palacio de la Aduana (``Customs Palace'') is a building in Málaga, Andalusia, Spain, originally a customs house for the Port of Málaga.	Palacio de la Aduana	Spain
country	Gerdelat (Persian: گردلات‎, also Romanized as Gerdelāt; also known as Gerdeh Lāt) is a village in Kalisham Rural District, Amarlu District, Rudbar County, Gilan Province, Iran.	Gerdelat	Iran
country	Laodao River (simplified Chinese: 捞刀河; traditional Chinese: 撈刀河; pinyin: Lāodāohé), also known as Laotang River (Chinese: 捞塘河) and Liaohu River (Chinese: 潦浒河), is a river in Changsha, capital of Hunan province, in the People's Republic of China.	Laodao River	People's Republic of China
country	The Terryland Forest Park is an urban forest park in Galway, Ireland.	Terryland Forest Park	Ireland
country	Edenmore is a locality within Raheny on the Northside of Dublin, Ireland, with several housing developments and a large municipal park.	Edenmore	Ireland
country	Jarra Central is one of the six districts of the Lower River Division of the Gambia.	Jarra Central	Gambia
country	Tompojevci (Rusyn: томпоєвци) is a village and municipality in the Vukovar-Syrmia County in Croatia.	Tompojevci	Croatia
country	Sarilabad (Persian: سريل اباد‎, also Romanized as Sarīlābād) is a village in Akhtachi-ye Mahali Rural District, Simmineh District, Bukan County, West Azerbaijan Province, Iran.	Sarilabad	Iran
country	Bojnice Castle (Slovak: Bojnický zámok, Hungarian: Bajmóci vár) is a medieval castle in Bojnice, Slovakia.	Bojnice Castle	Slovakia
country	Mazraeh-ye Nanva (Persian: مزرعه نانوا‎, also Romanized as Mazra``eh-ye Nānvā) is a village in Tang Chenar Rural District, in the Central District of Mehriz County, Yazd Province, Iran. At the 2006 census, its existence was noted, but its population was not reported.	Mazraeh-ye Nanva	Iran
country	Figueira Pavão is a settlement in the southeastern part of the island of Fogo, Cape Verde.	Figueira Pavão	Cape Verde
country	The Military Order of St. Henry (Militär-St. Heinrichs-Orden) was a military order of the Kingdom of Saxony, a member state of the German Empire.	Military Order of St. Henry	Kingdom of Saxony
country	Ahmadalilar Mausoleum (Azerbaijani: Arğalı türbəsi) is a mausoleum in the Əhmədalılar village of Fuzuli Rayon, Azerbaijan.	Ahmadalilar Mausoleum	Azerbaijan
country	Sierra de Algairén is a mountain range in Aragon, Spain, located between the comarcas of Campo de Cariñena and Comunidad de Calatayud.	Sierra de Algairén	Spain
country	It is a town or town area committee in Zunheboto district in the state of Nagaland, India.	Zunheboto	India
country	Dobrzyca-Nowy Świat (dɔˈbʐɨt͡sa ˈnɔvɨ ˈɕfjat) is a village in the administrative district of Gmina Dobrzyca, within Pleszew County, Greater Poland Voivodeship, in west-central Poland.	Dobrzyca-Nowy Świat	Poland
country	Kazygurt District (Kazakh: Қазығұрт ауданы) is a district of South Kazakhstan Region in southern Kazakhstan.	Kazygurt District	Kazakhstan
country	Hunt Club is a community in River Ward, in the south end of Ottawa, Canada.	Hunt Club	Canada
country	Jiuchong (Chinese: 九重; pinyin: jiǔchóng) is a town in Xichuan County, southwestern Henan province, People's Republic of China.	Jiuchong	People's Republic of China
country	Maragheh (Persian: مراغه‎‎, Azerbaijani: مراغا Mәrağa), also Romanized as Marāgheh; also known as Marāgha), is a city in and the capital of Maragheh County, East Azerbaijan Province, Iran.	Maragheh	Iran
country	The 1994 IAAF World Cross Country Championships was held in Budapest, Hungary, at the Kincsem Park on March 26, 1994.	1994 IAAF World Cross Country Championships	Hungary
country	Ömercik, Çubuk is a village in the District of Çubuk, Ankara Province, Turkey.	Ömercik, Çubuk	Turkey
country	Fleißenbach (Czech: Plesná) is a river of Czech Republic (Karlovy Vary Region) and Germany (Saxony).	Fleißenbach	Czech Republic	Germany
country	Kim Liên is a large village and commune in the Nam Đàn district of Nghe An province in Vietnam.	Kim Liên	Vietnam
country	Ngamatapouri is a small rural locality in the Waitotara River valley, 47 km north of Waitotara village, in south Taranaki, New Zealand.	Ngamatapouri	New Zealand
country	CONTEST is the name of the United Kingdom's counter-terrorism strategy.	CONTEST	United Kingdom
country	111 George Street is a building on George Street in the Brisbane central business district, Australia which was completed in 1993.	111 George Street	Australia
country	Sippar (Sumerian: Zimbir) was an ancient Near Eastern city on the east bank of the Euphrates river, located at the site of modern Tell Abu Habbah in Iraq's Babil Governorate, some 60 km north of Babylon and 30 km southwest of Baghdad.	Sippar	Iraq
country	Companies House is the United Kingdom's registrar of companies and is an executive agency and trading fund of Her Majesty's Government.	Companies House	United Kingdom
country	Pirogoshi Cave is the largest cave in Albania.	Pirogoshi Cave	Albania
country	Zirka Stadium is a multifunctional facility, primarily used for football located in Kirovohrad, Ukraine.	Zirka Stadium	Ukraine
country	From 1909 until the Spanish Civil War, naval construction in Spain was monopolized by the Sociedad Española de Construcción Naval - (SECN) also Spanish Society for Naval Construction (SECN).	Sociedad Española de Construcción Naval	Spain
country	Seymour Airport (IATA: GPS, ICAO: SEGS) is an airport serving the island of Baltra, one of the Galápagos Islands in Ecuador.	Seymour Airport	Ecuador
country	Cima Bocche (2,745 m) is a mountain of the Dolomites in Trentino, Italy.	Cima Bocche	Italy
country	Dehgah Rural District (Persian: دهستان دهگاه‎) is a rural district (dehestan) in Kiashahr District, Astaneh-ye Ashrafiyeh County, Gilan Province, Iran.	Dehgah Rural District	Iran
country	Nullarbor Regional Reserve is a protected area in South Australia located about 300 kilometres (190 mi) west of Ceduna.	Nullarbor Regional Reserve	Australia
country	The Panhellenic Union of Fighting Youths (Greek: Πανελλήνιος Ένωσις Αγωνιζόμενων Νέων, Panellínios Énosis Agonizómenon Néon, PEAN, ΠΕΑΝ) was a Greek Resistance organization during the Axis Occupation of Greece in the Second World War.	Panhellenic Union of Fighting Youths	Greece
country	Farhudiyeh (Persian: فرهوديه‎, also Romanized as Farhūdīyeh; also known as Farhūdī) is a village in Abdoliyeh-ye Gharbi Rural District, in the Central District of Ramshir County, Khuzestan Province, Iran.	Farhudiyeh	Iran
country	Granity is a small town on the West Coast of New Zealand's South Island, 28 kilometres (17 mi) north-east of Westport on State Highway 67.	Granity	New Zealand
country	Kyoto International University (KIU) is a small, Christian, international university located in the cultural center of Japan.	Kyoto International University	Japan
country	Lapuvandan (Persian: لپوندان‎, also Romanized as Lapūvandān; also known as Lapavandān, Lapvandān, and Lyapando) is a village in Ahmadsargurab Rural District, Ahmadsargurab District, Shaft County, Gilan Province, Iran.	Lapuvandan	Iran
country	Böblingen Airport (German: Flughafen Böblingen) (IATA: PHM) was built in the mid-1920s for the city of Stuttgart in Germany.	Böblingen Airport	Germany
country	Durabad (Persian: دوراباد‎, also Romanized as Dūrābād) is a village in Cheshmeh Kabud Rural District, in the Central District of Harsin County, Kermanshah Province, Iran.	Durabad	Iran
country	Quezon (Tagalog pronunciation: (ˈkɛson)) is a province of the Philippines in the CALABARZON region of Luzon island.	Quezon	Philippines
country	Omota (pronounced (ɔˈmoːta)) is a small settlement in the Municipality of Semič in Slovenia.	Omota	Slovenia
country	Stari Pisker (meaning in colloquial Slovene: an old pot) is a former prison in Celje, Slovenia.	Stari Pisker	Slovenia
country	Volcán Tajumulco is a large stratovolcano in the department of San Marcos in western Guatemala.	Volcán Tajumulco	Guatemala
country	Nopala (officially: Nopala de Villagrán; Otomi: ʼMostʼä) is a town and one of the 84 municipalities of Hidalgo, in central-eastern Mexico.	Nopala	Mexico
country	The Priargunsky mine is a large open pit mine located near the town of Krasnokamensk in the southern part of Russia in Zabaykalsky Krai.	Priargunsky mine	Russia
country	This includes an online LLM for international professionals and is awarded by Beijing Foreign Studies University, the Ministry of Education and the Ministry of Justice of the People's Republic of China.	Beijing Foreign Studies University	People's Republic of China
country	Put the Rifle Down is a Canadian Electronic dance band based in Toronto, Canada that were signed to Montreal label Summer Lovers Unlimited.	Put the Rifle Down	Canada
country	The Bush Beast was a wooden roller coaster located at Wonderland Sydney in Australia.	The Bush Beast	Australia
country	Parzew (ˈpaʐɛf) is a village in the administrative district of Gmina Kotlin, within Jarocin County, Greater Poland Voivodeship, in west-central Poland.	Parzew	Poland
country	The Moonah Links Golf Club is a golf club in Rye, Victoria, Australia It has hosted the Australian Open twice.	Moonah Links	Australia
country	Kukav (Persian: كوكاو‎, also Romanized as Kūkāv; also known as Kūkāb) is a village in Howmeh-ye Jonubi Rural District, in the Central District of Eslamabad-e Gharb County, Kermanshah Province, Iran.	Kukav	Iran
country	Mount Muhabura, also known as Mount Muhavura, is an extinct volcano in the Virunga Mountains on the border between Rwanda and Uganda.	Mount Muhabura	Rwanda
country	Trzebiel (ˈtʂɛbjɛl) (Lower Sorbian: Trjebule or Trjebul, German: Triebel) is a village in Żary County, Lubusz Voivodeship, in western Poland, close to the German border.	Trzebiel	Poland
country	Ullevål Hageby is a residential area and garden city in borough Nordre Aker of Oslo, Norway.	Ullevål Hageby	Norway
country	Fort-Liberté (Haitian Creole: Fòlibète) is a commune and administrative capital of the Nord-Est Department, Haiti.	Fort-Liberté	Haiti
country	Ślęża Landscape Park (Ślężański Park Krajobrazowy) is a protected area (Landscape Park) in south-western Poland, established in 1988, covering an area of 81.90 square kilometres (31.62 sq mi).	Ślęża Landscape Park	Poland
country	The Ischia Film Festival is an annual film festival held in Ischia, Italy.	Ischia Film Festival	Italy
country	Rupertswood railway station is located on the Melbourne - Bendigo railway in the north-western Melbourne suburb of Sunbury in Victoria, Australia.	Rupertswood railway station	Australia
country	The Kodikkunnu Bhagavathy Temple or Kodikkunnu Ambalam is a famous Hindu temple dedicated to Goddess Durga located in the village of Pallippuram, near Pattambi, in Palakkad district of Kerala, India.	Kodikkunnu Bhagavathy Temple	India
country	Ajdna (1064 m) is a peak in the Karawanks in the Municipality of Žirovnica in the Upper Carniola region of Slovenia.	Ajdna	Slovenia
country	Wężnik (ˈvɛ̃ʐnik) is a village in the administrative district of Gmina Krzęcin, within Choszczno County, West Pomeranian Voivodeship, in north-western Poland.	Wężnik	Poland
country	Selsbakk is a residential area in Trondheim, Sør-Trøndelag, Norway, approximately 5 kilometres (3 mi) south of the city centre.	Selsbakk	Norway
country	Trilek Castle (Slovene: Grad Trilek) is a small castle or fort near the settlement of Col, in the Municipality of Ajdovščina in southwest Slovenia.	Trilek Castle	Slovenia
country	Centre Européen de Recherches Internationales et Stratégiques (CERIS) is a private graduate university located in Brussels, Belgium.	Centre Européen de Recherches Internationales et Stratégiques	Belgium
country	Taman Daya Hockey Stadium or Johor State Hockey Stadium is the hockey stadium in Taman Daya, Tebrau, Johor Bahru District, Johor, Malaysia.	Taman Daya Hockey Stadium	Malaysia
country	Gung-dong is a dong, neighbourhood of Guro-gu in Seoul, South Korea.	Gung-dong	South Korea
country	Rio Verde Pequeno (Portuguese for ``little green river'') is a river of Bahia state in eastern Brazil.	Rio Verde Pequeno	Brazil
country	Slangerup is a town in Frederikssund municipality, about 30 km north-west of central Copenhagen, in the Capital Region of Denmark.	Slangerup	Denmark
country	Loralai (Pashto: لورالائی‎) is the principal city of Loralai District in the northeast of Balochistan province in Pakistan.	Loralai	Pakistan
country	Southmall Manurewa is a shopping centre located in Manurewa, a suburb of Auckland, New Zealand, adjacent to the Manurewa Train Station, 24.7 kilometres (15.3 mi) south-southeast of the Auckland CBD.	Southmall Manurewa	New Zealand
country	Jirg (Persian: جيرگ‎, also Romanized as Jīrg, Jīrak, Jirag, and Jīrk) is a village in Jolgeh-e Mazhan Rural District, Jolgeh-e Mazhan District, Khusf County, South Khorasan Province, Iran.	Jirg	Iran
country	The Himalayan subtropical pine forests are a large subtropical coniferous forest ecoregion covering portions of Bhutan, India, Nepal, and Pakistan.	Himalayan subtropical pine forests	Bhutan
country	Khaneqah Bala va Pain (Persian: خانقاه بالاوپائين‎, also Romanized as Khāneqāh Bālā va Pā’īn; also known as Khal’ge, Khānegāh-e Bālā, Khāneqāh, and Khangah) is a village in Asalem Rural District, Asalem District, Talesh County, Gilan Province, Iran.	Khaneqah Bala va Pain	Iran
country	Skare Church (Norwegian: Skare kyrkje) is a parish church in Odda municipality in Hordaland county, Norway.	Skare Church	Norway
country	Berlevåg Church (Norwegian: Berlevåg kirke) is a parish church in Berlevåg Municipality in Finnmark county, Norway.	Berlevåg Church	Norway
country	Hoherodskopf is a mountain peak in the Vogelsberg of Hesse, Germany.	Hoherodskopf	Germany
country	Volcán Ixtepeque is a stratovolcano in southern Guatemala.	Ixtepeque	Guatemala
country	Roodt railway station (Luxembourgish: Gare Rued, French: Gare de Roodt, German: Bahnhof Roodt) is a railway station serving Roodt-sur-Syre, in the commune of Betzdorf, in eastern Luxembourg.	Roodt railway station	Luxembourg
country	Eshpalam (Persian: اشپلم‎) is a village in Kasma Rural District, in the Central District of Sowme'eh Sara County, Gilan Province, Iran.	Eshpalam	Iran
country	The Parti Rakyat Sarawak or, PRS (English: Sarawak Peoples' Party) is a political party in Malaysia.	Parti Rakyat Sarawak	Malaysia
country	Zardaki-ye Sofla (Persian: زردكي سفلي‎, also Romanized as Zardakī-ye Soflá and Zardaki Sofla; also known as Zardaki and Zardakī-ye Pā’īn) is a village in Angali Rural District, in the Central District of Bushehr County, Bushehr Province, Iran.	Zardaki-ye Sofla	Iran
country	Svoronata (Greek: Σβορωνάτα) is a village in the municipal unit Leivathos, southern Cephalonia, Greece.	Svoronata	Greece
country	Zbytkowo (zbɨtˈkɔvɔ) (German: Bitterhof) is a village in the administrative district of Gmina Lipno, within Lipno County, Kuyavian-Pomeranian Voivodeship, in north-central Poland.	Zbytkowo	Poland
country	Besiberri Massif (Catalan: Massís del Besiberri) is a mountain massif of the central area of the Pyrenees, Lleida, Catalonia, Spain.	Besiberri Massif	Spain
country	Bobo-Dioulasso is a city in Burkina Faso with a population of about 537,728 (as of 2012), it is the second largest city in the country, after Ouagadougou, Burkina Faso's capital.	Bobo-Dioulasso	Burkina Faso
